Community,state_id,lag_months,correlation,n_start_points
12,12,28,0.23076923076923078,7
12,12,29,0.15384615384615385,7
12,12,30,0.15384615384615385,7
12,12,31,0.15384615384615385,7
12,12,32,0.15384615384615385,7
12,12,33,0.15384615384615385,7
12,12,34,0.0,7
12,12,35,0.3076923076923077,7
12,12,36,0.07692307692307693,7
12,16,1,0.0,1
12,16,2,0.0,1
12,16,3,0.0,1
12,16,4,0.0,1
12,16,5,0.0,1
12,16,6,0.0,1
12,16,7,0.0,1
12,16,8,0.0,1
12,16,9,0.0,1
12,16,10,0.0,1
12,16,11,0.0,1
12,16,12,0.0,1
12,16,13,0.0,1
12,16,14,0.0,1
12,16,15,0.0,1
12,16,16,0.0,1
12,16,17,0.0,1
12,16,18,0.0,1
12,16,19,0.0,1
12,16,20,0.0,1
12,16,21,0.0,1
12,16,22,0.0,1
12,16,23,0.0,1
12,16,24,0.0,1
12,16,25,0.0,1
12,16,26,0.0,1
12,16,27,0.0,1
12,16,28,0.0,1
12,17,1,0.3666666666666667,25
12,17,2,0.23846153846153845,25
12,17,3,0.4346153846153846,25
12,17,4,0.4435483870967743,24
12,17,5,0.3220338983050848,23
12,17,6,0.2033898305084746,23
12,17,7,0.34821428571428575,22
12,17,8,0.28301886792452835,21
12,17,9,0.22641509433962267,21
12,17,10,0.21359223300970878,20
12,17,11,0.22330097087378645,20
12,17,12,0.2864077669902913,20
12,17,13,0.18000000000000002,19
12,17,14,0.2872340425531915,18
12,17,15,0.3351063829787234,18
12,17,16,0.11702127659574468,18
12,17,17,0.23404255319148937,18
12,17,18,0.1931818181818182,17
12,17,19,0.36363636363636365,17
12,17,20,0.19318181818181818,17
12,17,21,0.09090909090909091,17
12,17,22,0.32386363636363635,17
12,17,23,0.27272727272727276,17
12,17,24,0.22727272727272727,17
12,17,25,0.15294117647058822,16
12,17,26,0.3647058823529412,16
12,17,27,0.4352941176470588,16
12,17,28,0.30588235294117644,16
12,17,29,0.36470588235294116,16
12,17,30,0.32941176470588235,16
12,17,31,0.3764705882352941,16
12,17,32,0.45569620253164544,15
12,17,33,0.34246575342465746,14
12,17,34,0.363013698630137,14
12,17,35,0.28169014084507044,13
12,17,36,0.34782608695652173,12
12,18,1,0.0,4
12,18,2,0.0,4
12,18,3,0.0,4
12,18,4,0.0,4
12,18,5,0.0,4
12,18,6,0.0,4
12,18,7,0.0,4
12,18,8,0.0,4
12,18,9,0.15384615384615385,4
12,18,10,0.0,4
12,18,11,0.15384615384615385,4
12,18,12,0.0,4
12,18,13,0.0,4
12,18,14,0.0,4
12,18,15,0.0,4
12,18,16,0.0,4
12,18,17,0.0,4
12,18,18,0.05128205128205128,4
12,18,19,0.0,4
12,18,20,0.23076923076923078,4
12,18,21,0.0,4
12,18,22,0.0,4
12,18,23,0.0,4
